nama_provinsi,nama_kabupaten,jumlah_sampah,satuan,tahun
JAWA BARAT,KABUPATEN BOGOR,1511.15,TON PER HARI,2017
JAWA BARAT,KABUPATEN SUKABUMI,419.01,TON PER HARI,2017
JAWA BARAT,KABUPATEN CIANJUR,981.41,TON PER HARI,2017
JAWA BARAT,KABUPATEN BANDUNG,1895.94,TON PER HARI,2017
JAWA BARAT,KABUPATEN GARUT,464.74,TON PER HARI,2017
JAWA BARAT,KABUPATEN TASIKMALAYA,464.52,TON PER HARI,2017
JAWA BARAT,KABUPATEN CIAMIS,260.91,TON PER HARI,2017
JAWA BARAT,KABUPATEN KUNINGAN,251.7,TON PER HARI,2017
JAWA BARAT,KABUPATEN CIREBON,465.75,TON PER HARI,2017
JAWA BARAT,KABUPATEN MAJALENGKA,254.63,TON PER HARI,2017
JAWA BARAT,KABUPATEN BOGOR,1716.8,TON PER HARI,2018
JAWA BARAT,KABUPATEN SUKABUMI,415.5,TON PER HARI,2018
JAWA BARAT,KABUPATEN CIANJUR,965.19,TON PER HARI,2018
JAWA BARAT,KABUPATEN BANDUNG,2068.06,TON PER HARI,2018
JAWA BARAT,KABUPATEN GARUT,473.89,TON PER HARI,2018
JAWA BARAT,KABUPATEN TASIKMALAYA,458.45,TON PER HARI,2018
JAWA BARAT,KABUPATEN CIAMIS,263.01,TON PER HARI,2018
JAWA BARAT,KABUPATEN KUNINGAN,248.52,TON PER HARI,2018
JAWA BARAT,KABUPATEN CIREBON,466.25,TON PER HARI,2018
JAWA BARAT,KABUPATEN MAJALENGKA,249.26,TON PER HARI,2018
JAWA BARAT,KABUPATEN BOGOR,2914.65,TON PER HARI,2019
JAWA BARAT,KABUPATEN SUKABUMI,1003.64,TON PER HARI,2019
JAWA BARAT,KABUPATEN CIANJUR,1115.81,TON PER HARI,2019
JAWA BARAT,KABUPATEN BANDUNG,1334.12,TON PER HARI,2019
JAWA BARAT,KABUPATEN GARUT,1144.01,TON PER HARI,2019
JAWA BARAT,KABUPATEN TASIKMALAYA,753.06,TON PER HARI,2019
JAWA BARAT,KABUPATEN CIAMIS,560.57,TON PER HARI,2019
JAWA BARAT,KABUPATEN KUNINGAN,537.25,TON PER HARI,2019
JAWA BARAT,KABUPATEN CIREBON,3.15,TON PER HARI,2019
JAWA BARAT,KABUPATEN MAJALENGKA,515.7,TON PER HARI,2019
JAWA BARAT,KABUPATEN BOGOR,2977.0,TON PER HARI,2020
JAWA BARAT,KABUPATEN SUKABUMI,1006.0,TON PER HARI,2020
JAWA BARAT,KABUPATEN CIANJUR,1117.0,TON PER HARI,2020
JAWA BARAT,KABUPATEN BANDUNG,1355.0,TON PER HARI,2020
JAWA BARAT,KABUPATEN GARUT,1151.0,TON PER HARI,2020
JAWA BARAT,KABUPATEN TASIKMALAYA,754.0,TON PER HARI,2020
JAWA BARAT,KABUPATEN CIAMIS,564.0,TON PER HARI,2020
JAWA BARAT,KABUPATEN KUNINGAN,540.0,TON PER HARI,2020
JAWA BARAT,KABUPATEN CIREBON,1096.0,TON PER HARI,2020
JAWA BARAT,KABUPATEN MAJALENGKA,518.0,TON PER HARI,2020
